client_id,name,age,gender,marital_status,employment_status,location,annual_income,housing_condition,private_car,number_credits_loans,national_bank_reported,credit_score,app_installed,email,phone
7552056,Ryan Huynh,31,Male,Married,Employed,Jillshire,25000.0,Mortgage,True,1,True,549,True,hicksjose@example.com,(811)596-7144
7924217,Marie Hooper,32,Male,Married,Unemployed,Lake Sarah,50387.6,Rent,False,1,True,379,False,flawrence@example.com,001-618-943-4339
1,Craig Moreno,79,Female,Divorced,Self-Employed,South Kathyberg,34923.13,Mortgage,True,2,True,740,False,lucas10@example.net,001-866-270-2255x11094
64686149,Cody Knight,44,Male,Divorced,Unemployed,Kingburgh,108438.01,Mortgage,True,3,True,724,True,gkoch@example.org,788.631.5630
3430317,Carl Jackson,66,Male,Divorced,Self-Employed,Davidview,105161.27,Own,False,1,True,549,False,thomas45@example.net,+1-680-272-6493x049
4,Samuel Jones,19,Male,Divorced,Unemployed,Steventon,207860.92,Mortgage,False,5,True,820,False,brandy35@example.org,001-211-245-0841x3862
8672988,Denise Santana,51,Female,Single,Employed,Port Jerrystad,40715.17,Rent,True,2,True,610,True,anthonylauren@example.org,498-700-7799
4144,Lisa Villegas,73,Male,Divorced,Self-Employed,Phillipsmouth,25000.0,Own,True,2,False,765,False,stephensjaclyn@example.org,+1-362-848-5476x7640
1681,Amanda Smith,58,Female,Married,Self-Employed,East Jeffreyfort,69433.78,Mortgage,False,2,True,336,True,tfigueroa@example.com,(786)610-5053
2423,Grant Hill,46,Female,Divorced,Employed,Josephton,72501.72,Rent,False,1,True,528,True,pamelabruce@example.net,(427)896-2584x577
822052,Crystal Moreno,58,Female,Single,Unemployed,Chadburgh,75579.42,Own,False,5,True,727,True,millerrobert@example.org,001-616-487-0715x123
526,Kelly Vincent,22,Male,Married,Employed,South Douglas,94944.55,Own,True,3,True,731,True,daryl64@example.org,001-438-590-8607
752532,Manuel Scott,41,Male,Divorced,Unemployed,Melissaborough,121953.27,Rent,False,3,True,637,True,shirleysingh@example.org,6803338706
5255370,Dr. Donald Mckinney DDS,60,Female,Divorced,Unemployed,East Teresaton,113230.66,Mortgage,True,4,True,627,True,qperry@example.org,(898)637-2773
19838,James Fletcher,72,Female,Divorced,Employed,Santiagotown,117699.61,Mortgage,False,4,True,471,False,potteralbert@example.net,951.291.1756
553427,Stacy Byrd,73,Male,Single,Self-Employed,Webbfurt,26280.24,Rent,False,1,True,366,False,gwilliams@example.net,001-821-413-6329x68521
197107,Victoria Anderson,60,Female,Single,Unemployed,Lake Robert,68479.73,Mortgage,True,3,False,655,False,markdaniel@example.net,(722)594-8706
538835,Kyle Baker,40,Female,Single,Self-Employed,Silvastad,25000.0,Mortgage,True,1,True,351,True,bryancarr@example.com,001-301-952-4661x26221
18818778,Denise Williams,67,Female,Divorced,Self-Employed,Rodrigueztown,79451.81,Mortgage,True,3,True,420,False,mmclaughlin@example.com,393-655-6141x88201
8,Marcia Ramirez,76,Male,Single,Self-Employed,Martinezland,70378.53,Own,True,1,True,476,False,wallacemason@example.org,624-568-9558x18905
431127275,Paul Nichols,26,Female,Married,Unemployed,Michellefurt,25000.0,Mortgage,True,1,True,607,True,wlynch@example.com,001-304-246-0755x66985
6728,Christopher Evans,48,Male,Single,Self-Employed,East Lauraview,49414.8,Rent,False,2,True,644,True,robertmacdonald@example.com,624.966.0831
7536,Monica Torres,51,Male,Married,Employed,West Darrell,49695.17,Mortgage,False,4,True,332,True,gabrielrivera@example.org,436-247-3613x9794
361,Alexander Davies,64,Male,Divorced,Unemployed,Meganville,74860.06,Mortgage,True,2,True,403,True,robertgiles@example.net,319-244-8817
191332395,Ashley Fitzgerald,25,Male,Divorced,Self-Employed,Amandafort,137069.59,Rent,True,3,True,394,False,csmith@example.net,402-775-6239
30285,Karen Patel,39,Male,Married,Employed,Hillton,124331.56,Mortgage,False,5,True,737,False,swhite@example.com,001-931-504-4346x83715
595124042,Patricia Gomez,31,Female,Married,Unemployed,Lake Josephside,58878.53,Mortgage,True,2,True,797,False,amendoza@example.net,(923)990-3335
196264156,Dr. Anna Smith MD,69,Male,Single,Self-Employed,Dixonborough,150403.39,Own,True,2,True,836,False,kirsten45@example.net,447-543-8842
0,Michelle Moreno,58,Male,Single,Self-Employed,East Shelly,25000.0,Mortgage,False,1,True,619,False,tiffanyvaughan@example.net,216-833-3296x76425
6822,Rickey Henson,74,Female,Married,Employed,South Emilyberg,63293.79,Own,True,3,True,312,False,perezbob@example.net,798.978.0771x3506
65672,Mr. Tyler Myers,20,Male,Divorced,Unemployed,Port Willie,25000.0,Mortgage,False,2,True,303,False,rodriguezsean@example.com,306-270-3673x50038
7106,Thomas Lee,53,Male,Single,Employed,West Heathermouth,365481.68,Rent,True,4,True,300,False,ericgarner@example.org,6814405691
532,Jennifer Edwards,68,Female,Divorced,Self-Employed,Bruceberg,103986.33,Mortgage,False,3,True,514,False,colleen13@example.com,001-239-528-8481x556
9239659,Michelle Powell,44,Female,Single,Self-Employed,Lake William,25000.0,Mortgage,False,1,False,800,False,hallsandra@example.net,001-794-929-9119x4670
32599666,Joshua Wilson,55,Male,Divorced,Employed,Port Bradley,25000.0,Mortgage,True,1,False,592,True,crosbybrandy@example.org,267-433-3397x07659
579778,Maureen Garcia,66,Female,Married,Employed,Kimberlymouth,36557.65,Mortgage,True,1,True,690,True,feliciamoyer@example.com,(941)751-1292
1456155,Dawn Rubio,78,Male,Married,Unemployed,Mitchellland,38646.41,Mortgage,False,2,True,720,True,craigjackson@example.com,9028702219
65426,Destiny Le,37,Male,Divorced,Unemployed,New Valerie,76792.15,Mortgage,False,3,False,410,True,marywalker@example.net,3395313642
62919,Paige Parker,58,Male,Divorced,Self-Employed,Lake Duaneview,63580.14,Mortgage,False,3,True,400,True,burnsmaria@example.com,544.416.2140
28172,Ronald Goodwin,79,Male,Married,Self-Employed,Briantown,25000.0,Mortgage,True,2,True,719,True,angelgolden@example.net,001-819-388-6862x38076
67583,Donna Walker,66,Male,Divorced,Employed,Paynemouth,96017.31,Rent,False,3,False,464,True,tthompson@example.org,604.770.2334x01365
486596176,Jack Powell,75,Male,Single,Employed,Rodriguezchester,87433.16,Mortgage,False,2,True,794,True,mooreregina@example.org,+1-363-810-6988x07188
39172333,Eugene Brown,76,Male,Divorced,Unemployed,Robertville,96523.41,Rent,False,5,True,427,True,ebrooks@example.net,350-782-2960x44663
94644,Jamie Harris,28,Female,Married,Unemployed,North Ryanbury,68141.52,Mortgage,True,3,True,317,True,lrobbins@example.com,639-396-5785x14969
6914,Benjamin Pugh,56,Female,Divorced,Self-Employed,North Pamela,25000.0,Mortgage,True,5,True,639,False,ijohnson@example.net,471.298.1855x491
255231,Matthew Waters,57,Male,Married,Employed,Lesterville,109266.21,Mortgage,True,3,True,521,True,lkline@example.net,(825)570-6127x86017
20,Ryan Powell,52,Male,Divorced,Unemployed,Lake Allenfort,104650.18,Mortgage,False,4,False,684,True,zavalatimothy@example.com,6716873845
2504038,Carlos Gray,67,Female,Married,Self-Employed,West Sydney,154629.2,Rent,True,3,True,369,False,cindyaguirre@example.com,9004656295
524,Lee Cortez,61,Male,Married,Unemployed,Port Amandaview,60277.27,Own,False,5,True,395,False,elizabethgill@example.net,(833)949-4423x5309
312,Kevin Sanders,52,Male,Divorced,Employed,Grayshire,25000.0,Mortgage,True,1,True,346,False,tbell@example.com,787-419-3781x998
616,Melissa Williams,29,Male,Divorced,Employed,Lake Coreytown,121481.23,Own,False,3,True,739,False,billywest@example.org,001-567-791-9916x4453
3999607,Andrew Little,56,Male,Divorced,Employed,New Mary,218906.54,Own,True,3,True,495,True,aliciarodriguez@example.com,588-888-1566
874376,Justin Ramirez,57,Female,Married,Self-Employed,Stephanieside,163099.78,Mortgage,True,1,True,595,False,tortega@example.org,001-373-551-5020x0420
242582,Joseph Armstrong,74,Female,Married,Unemployed,East Shannontown,36590.27,Mortgage,False,1,True,776,False,ycoleman@example.org,(380)505-6863x1273
9920793,Aaron Williams,54,Male,Married,Unemployed,Wellsborough,43924.53,Mortgage,True,1,True,330,True,martintina@example.org,+1-962-536-0432
57,Omar Gordon,42,Female,Married,Unemployed,West Stevenborough,79117.87,Own,False,1,False,417,False,johnsonjames@example.net,701-263-4671x65341
6,Stephen Roberts,30,Female,Married,Unemployed,Parksport,25000.0,Mortgage,True,1,True,324,True,ashleywilliams@example.org,5957712912
229731882,Julie Sanchez,42,Male,Married,Self-Employed,West Jerometown,116539.76,Mortgage,True,5,True,387,False,portiz@example.net,9289510298
449467063,Edward Harris,69,Male,Single,Self-Employed,West Matthew,98850.95,Own,False,5,True,681,False,parkhannah@example.com,(486)267-1465
424,Jesus Avila,33,Male,Divorced,Self-Employed,North Jonathanstad,41742.99,Mortgage,True,2,True,749,True,ehoffman@example.org,251-484-1504
79,Brittany Anderson,60,Male,Single,Employed,Gentryside,103315.27,Rent,False,5,True,470,True,crystalsullivan@example.net,418.582.5038x38439
70815,Maria Torres,42,Male,Divorced,Unemployed,Port Briannastad,25000.0,Rent,False,1,True,363,True,sanchezalison@example.org,001-559-860-8431x2080
698016,Mallory Miller,57,Female,Married,Employed,North David,35976.35,Mortgage,True,2,True,697,True,fieldsrandy@example.org,(611)947-3859x826
79195216,Alexander Saunders,59,Female,Single,Unemployed,New Richardchester,129361.09,Mortgage,False,5,True,607,True,ufitzpatrick@example.net,(452)444-7884x025
937590,Mark Gibbs,31,Male,Single,Self-Employed,Brownland,103802.91,Own,True,4,True,504,True,ariley@example.com,+1-933-679-1402
38935623,John Adams,73,Male,Married,Self-Employed,South Traci,106985.65,Own,True,4,True,804,False,christinapayne@example.net,636.469.9194
43888,Paige Davis,37,Male,Single,Unemployed,Erikaberg,25000.0,Mortgage,False,1,True,653,False,nburch@example.net,987.202.1431
965394,Keith Burke,56,Male,Divorced,Unemployed,East Scott,32034.28,Rent,True,2,True,558,False,michaelespinoza@example.net,915.286.6055
9137847,Joshua Johnson,78,Female,Divorced,Self-Employed,Pamelaland,39327.28,Mortgage,True,2,True,487,False,wjackson@example.net,575-900-5430
783305860,Angela Smith,74,Female,Married,Employed,Rodriguezland,25264.45,Mortgage,True,1,False,394,False,yvonne47@example.com,001-806-722-0402
478589,Scott Cisneros,61,Male,Single,Employed,Gayhaven,25607.49,Mortgage,False,2,True,766,False,wiserobert@example.org,+1-999-387-4944
5601356,Glenn Davis,18,Female,Single,Unemployed,Lawsonstad,141383.9,Own,False,1,True,791,False,craigmiller@example.org,494.841.2053
976,Teresa Delgado,50,Female,Single,Unemployed,Nicoleborough,103488.33,Own,True,5,True,572,False,shawn41@example.net,723-643-0127x0883
8480,Kelly Smith,19,Male,Single,Unemployed,North Meganport,47619.76,Own,True,2,True,811,True,greenkatherine@example.net,+1-218-947-9425x531
89174,Taylor Hunt,28,Male,Married,Employed,South Stephen,101886.03,Rent,False,2,True,413,True,boydsandra@example.net,(657)946-1816
5017,Ann Davis,78,Male,Married,Self-Employed,Amandatown,176991.18,Own,False,5,True,375,False,jacquelinehahn@example.org,693-633-8431
46651664,Shannon Dawson,33,Female,Married,Unemployed,Brittneymouth,63403.61,Own,False,3,True,433,False,gilbert35@example.com,798.971.8626x335
1232327,George Edwards,29,Male,Divorced,Unemployed,Ryanstad,55168.13,Own,False,2,True,583,True,mario98@example.net,+1-592-406-0070
11,Danielle Miller,63,Female,Single,Unemployed,Lake Evan,42754.27,Rent,True,5,True,535,False,sanderscarl@example.net,+1-410-979-5109x89355
5588,Daniel Olson,20,Male,Married,Self-Employed,Jeffreybury,49450.81,Rent,False,1,True,442,True,kennedykatelyn@example.net,+1-404-734-7481x979
9803353,Billy Murphy,42,Male,Divorced,Self-Employed,Johnside,132084.74,Mortgage,False,3,True,799,False,kevin91@example.com,9505505009
4993441,Nicholas Webb,69,Male,Married,Employed,Christopherfort,146088.28,Own,True,1,True,627,True,christopherbrown@example.net,(856)202-6039x1408
44937,Lindsey Benitez,63,Male,Single,Employed,North James,50712.1,Mortgage,False,1,True,679,False,nataliemurphy@example.com,826.928.1015x020
44805624,Maureen Jones,62,Male,Married,Employed,South Annetteburgh,70969.81,Mortgage,True,3,True,446,False,brittanymcguire@example.org,237.849.2183
30266305,Eric Little,29,Male,Divorced,Employed,South Jasmine,48426.87,Own,True,1,True,660,True,matthewsjoanne@example.org,+1-355-760-2299x80377
963,Gary Dawson,37,Female,Single,Employed,East Staceyville,34903.14,Own,True,1,True,350,False,john04@example.net,001-961-425-8583x2481
950623,Amanda Adkins,61,Male,Single,Employed,Woodstown,60667.16,Rent,True,1,True,413,True,yburton@example.org,378-969-9151x0606
27,Kevin Cummings,32,Male,Divorced,Unemployed,Dawnberg,53051.36,Own,False,1,False,526,True,morrowshawn@example.net,862-641-6234x56886
766188765,Christine Lopez,77,Female,Married,Unemployed,Kingborough,44745.74,Mortgage,False,1,True,539,False,holly88@example.org,(261)567-5452
7096,Danielle Patel,24,Female,Divorced,Employed,Powellshire,362597.3,Mortgage,True,4,True,486,True,xhoward@example.com,(607)351-4687
19897,Cynthia Howell,59,Male,Married,Employed,New Haley,82783.11,Mortgage,True,2,True,498,True,tina34@example.com,830.354.3728x7157
7500801,Shelly Norton,76,Female,Single,Self-Employed,West Georgeshire,25000.0,Rent,True,2,True,481,False,vburnett@example.com,001-364-200-6127
846295,Benjamin Ford,44,Male,Divorced,Self-Employed,Dawnton,31527.8,Own,False,2,True,747,False,austin23@example.net,817.817.5085
64,David Johnson,29,Male,Single,Employed,North Brandonberg,151960.4,Own,False,4,True,574,True,shirley29@example.net,207.886.1540
92789714,Matthew Stone,29,Male,Single,Unemployed,Carlsonburgh,33420.45,Rent,True,4,True,368,False,calvin96@example.net,363-381-3940x3047
3,Shannon Galloway,70,Male,Single,Employed,Lake Dean,89853.6,Own,True,4,True,378,False,robert53@example.org,9554818768
4501893,Brandy Thompson,57,Male,Single,Self-Employed,New Keith,121765.27,Own,True,3,True,719,True,mramirez@example.org,6008153144
787621,Monique Moyer,73,Male,Divorced,Self-Employed,Lake Derrickchester,110545.39,Rent,False,5,True,745,True,rshields@example.com,001-317-381-0666x81288
6790394,Jody Potter,72,Female,Divorced,Employed,Matthewville,53848.05,Own,True,2,True,706,False,adammiddleton@example.net,(303)781-6023x99148
3398143,Frank Garcia,29,Male,Divorced,Self-Employed,Anthonystad,100965.42,Rent,True,5,True,439,False,qmclean@example.org,(746)233-6957
35146,Gary Oliver,37,Female,Married,Unemployed,Port Daniellemouth,34811.84,Rent,True,2,False,699,True,john16@example.net,001-283-862-1481x270
25238265,Christina Mccarty,37,Male,Divorced,Unemployed,North Maria,104210.09,Rent,False,2,True,314,True,tbonilla@example.org,341-715-9885x51206
9217,Mr. Andrew Taylor,58,Female,Single,Self-Employed,Boothburgh,129313.82,Mortgage,True,3,True,633,True,christopherscott@example.org,+1-996-960-5845x4713
3392,Christopher Wilson,47,Male,Single,Self-Employed,New Dennis,50230.76,Own,True,1,True,462,False,amcdonald@example.org,001-918-536-2995x04132
6387,Michael Stout,57,Male,Married,Unemployed,Port Jasonmouth,58707.57,Mortgage,True,1,True,515,False,ymccarty@example.com,4184117609
9,William Williams,29,Male,Divorced,Unemployed,New John,201024.97,Mortgage,True,3,True,445,False,jonesjonathan@example.net,(642)238-3206x2975
477932773,Joseph Gonzalez,66,Female,Married,Employed,Port Sarahburgh,67087.95,Own,False,2,True,431,False,cbyrd@example.org,001-401-313-6619x507
244954,Sharon Lyons,35,Male,Divorced,Unemployed,East Jamie,52398.64,Own,False,2,True,437,False,tasha99@example.com,+1-600-229-0968x8467
345864,Michaela Daniel,32,Female,Divorced,Employed,South Amber,64934.69,Own,False,3,True,378,False,karendavis@example.org,+1-333-855-8466
7763,Mr. Brian Glass,47,Female,Divorced,Unemployed,North Jessica,119513.25,Mortgage,False,2,True,470,False,paulwright@example.org,(909)883-0578
776,Sarah Smith,28,Female,Married,Employed,Nelsonview,51879.27,Mortgage,True,1,True,650,False,joshuapatterson@example.net,(271)751-3899
1151959,Christopher Hill,80,Female,Married,Employed,Smithstad,25000.0,Mortgage,False,1,True,786,False,stevensandrew@example.net,+1-880-390-6666x14317
394396250,William Hawkins,62,Male,Single,Unemployed,East Staceyhaven,25000.0,Mortgage,True,2,True,706,False,christopher97@example.com,581-666-0305
29,Kimberly Moore,52,Female,Divorced,Employed,Steveport,32766.54,Mortgage,False,2,True,315,False,maycharles@example.net,(327)942-4939x6056
994,Ryan Jones,48,Female,Single,Unemployed,Langton,57876.43,Own,False,4,True,469,True,dfernandez@example.org,946.761.7579
31,Lisa Carroll,72,Male,Single,Unemployed,West Karamouth,317458.01,Own,False,2,True,654,True,wchavez@example.org,+1-808-357-7876x8165
296206,Melissa Wall,60,Female,Divorced,Employed,South Ashleyton,49254.91,Mortgage,False,4,True,477,False,merrittandre@example.org,+1-630-680-8923
70,Clayton Skinner,40,Male,Single,Unemployed,Brittanychester,90543.6,Rent,False,5,True,362,False,joshuaadams@example.com,+1-680-254-1545x54485
43020252,Sabrina Banks,64,Male,Single,Self-Employed,South Gregorymouth,116891.87,Rent,False,2,True,815,True,zaustin@example.com,(222)386-4678x55066
1832,Cody Sharp,52,Male,Single,Employed,Beckyshire,25000.0,Own,False,1,True,635,False,stephen34@example.org,543.517.5688x2437
68,Thomas Cunningham,47,Female,Married,Unemployed,East Kristen,84726.55,Mortgage,False,5,True,778,False,erica09@example.net,528-813-4698x1163
53,John Murphy,68,Female,Divorced,Self-Employed,Allisonstad,25000.0,Own,True,2,True,671,False,wadkins@example.org,6112427846
8046715,Taylor Parker,38,Female,Married,Employed,Taylorport,88311.04,Mortgage,False,4,True,693,False,marcia95@example.org,4446177006
861,Melissa Oliver,22,Female,Single,Self-Employed,Guerreroburgh,25000.0,Rent,True,1,True,462,True,saracarter@example.com,(587)513-5372
48940,Jamie Mcdowell,38,Male,Single,Employed,Hallborough,130477.37,Rent,True,5,True,677,False,brittany12@example.org,(811)935-0845
706317308,Michael Garrett,66,Male,Divorced,Employed,South James,96113.51,Own,True,4,False,483,False,millerjared@example.com,(324)563-7195x49278
435959757,Richard Brown,32,Female,Divorced,Employed,Port Lisa,26458.86,Own,False,1,True,741,False,kimberlylong@example.net,+1-827-541-1302x30510
2093,Darius Liu,63,Male,Single,Employed,Parkton,65613.26,Rent,False,3,True,407,True,nhawkins@example.org,(813)854-2476
731189,Stephanie Macias,65,Male,Divorced,Employed,East Lisa,154530.02,Mortgage,False,3,True,694,False,sanderslawrence@example.com,+1-731-844-9906
73584,Lisa Armstrong MD,44,Female,Married,Unemployed,New Nathan,95977.04,Mortgage,False,5,True,400,False,williamsolis@example.com,234-847-3290
78415,Thomas Brown MD,52,Male,Married,Self-Employed,Howardburgh,25378.15,Own,False,3,True,657,False,james62@example.net,+1-569-896-4172x6337
86,Kelly Simmons,65,Female,Single,Unemployed,Jonestown,96670.97,Mortgage,False,5,True,547,False,petersontammy@example.org,(541)344-4498
8624644,Matthew Woodard,42,Female,Married,Unemployed,Grossside,25000.0,Mortgage,True,1,True,350,False,williamsbrandon@example.org,829.747.1953x39798
180196,Brandon Davies,20,Female,Single,Employed,Elizabethborough,74750.33,Mortgage,False,2,True,787,False,michael13@example.com,001-698-623-6867x8448
51,Christine Jackson,59,Male,Single,Self-Employed,Buckleyburgh,66649.18,Own,True,1,True,607,False,dayvirginia@example.net,(455)901-2514
215868885,Mrs. Rebecca Gray,53,Male,Married,Self-Employed,Port Kyleport,172675.21,Mortgage,False,2,True,832,False,baldwinwanda@example.org,971.495.1110
7413097,Jessica Little,77,Male,Single,Unemployed,Henryland,88884.57,Mortgage,True,5,True,359,False,gregory84@example.net,001-344-273-3392x74940
7223228,Robert Powell,64,Male,Married,Unemployed,Peterside,39977.45,Mortgage,True,1,True,316,True,anthonyfrederick@example.org,786.966.6915x19501
447509,Jared Mcguire,18,Male,Single,Unemployed,West Mikeville,169640.28,Mortgage,True,4,True,505,False,juliemorales@example.net,(576)514-7461x1524
9362720,Mr. Andrew Matthews,30,Female,Married,Employed,West Melissaside,55128.11,Mortgage,True,2,False,849,True,greggcarter@example.org,+1-814-304-9109x590
203,Jennifer Smith,57,Male,Single,Employed,Browningtown,70140.19,Own,True,2,True,749,False,samantha98@example.net,999-434-0629x85480
28907470,Melissa Hebert,51,Male,Single,Employed,Brittanyfurt,28736.94,Mortgage,False,1,True,696,False,chammond@example.org,(727)578-5043x43094
523,Casey Lowe,51,Female,Single,Unemployed,West Petertown,121946.04,Own,False,5,True,783,False,savagedawn@example.com,9516535266
263979862,Linda Foster,74,Female,Single,Self-Employed,Johnfort,25000.0,Rent,False,2,True,391,False,robinsonhannah@example.com,600.861.1987
211577,Tanya Nelson,27,Male,Married,Unemployed,Lewishaven,77129.82,Own,True,1,True,653,True,lisa73@example.com,+1-944-507-3175
379994266,Michelle Johnson,57,Female,Divorced,Unemployed,Timothyborough,64564.61,Mortgage,True,1,True,625,True,michellejackson@example.com,+1-782-228-0771
706162809,Jessica Duran,78,Female,Single,Unemployed,East Eric,90968.98,Own,False,2,True,473,True,daniel31@example.org,(962)495-2391
911311,Samantha Carlson,78,Female,Single,Unemployed,Port Taylorside,156472.55,Rent,True,5,True,808,True,osoto@example.net,7642102978
36637,Teresa Butler,67,Female,Divorced,Unemployed,Smithberg,25000.0,Own,False,1,True,584,False,martin02@example.com,+1-542-858-7605
40121,Kimberly Weeks,28,Male,Divorced,Employed,Gomeztown,104823.07,Mortgage,False,5,True,844,True,milleranne@example.net,5768132521
949672505,Nicholas Johnson,67,Female,Divorced,Employed,Mooneybury,25000.0,Rent,True,1,True,530,False,javery@example.org,(456)399-8219
8614444,Susan Sanchez,23,Female,Single,Unemployed,West Melody,237843.52,Own,True,5,True,827,False,frankburch@example.net,350.872.1759x0759
2014077,Joshua Velez,56,Male,Divorced,Self-Employed,Estesburgh,205264.67,Rent,False,4,True,521,True,coxchristine@example.net,001-563-813-4415x35396
474,Jerry Morales,37,Male,Single,Employed,West Krista,145036.38,Mortgage,True,2,True,632,True,spencerthomas@example.com,+1-800-269-2033x370
632206,Alicia Reynolds,72,Female,Divorced,Unemployed,Garciabury,74881.17,Mortgage,False,2,True,400,False,lisa34@example.org,001-420-446-5594x3491
206302647,Casey Byrd,68,Female,Married,Employed,Cynthiachester,40737.54,Mortgage,False,2,True,438,True,lauren49@example.net,960.765.3417
374960,Alyssa Moore,51,Female,Divorced,Employed,Lake Bradleyfort,25000.0,Mortgage,False,1,True,444,True,colin68@example.com,259-569-6253
7,Lisa Hooper,41,Male,Single,Employed,North Michaelside,27574.18,Mortgage,True,1,True,719,True,joseph97@example.com,001-464-531-2475
30363847,Andres Vance,80,Female,Single,Unemployed,Martinezberg,229984.96,Mortgage,False,5,True,572,False,gprice@example.net,384.672.0421
7537,Michelle Smith,42,Female,Single,Unemployed,Kristopherstad,300323.24,Mortgage,False,4,True,497,True,anthony54@example.com,818-254-3282x960
1487957,Paul Graham,61,Female,Single,Unemployed,North Brittany,33093.97,Mortgage,True,2,True,763,False,xstewart@example.org,992.515.4836x63466
3969447,Kimberly Morris,27,Male,Married,Self-Employed,Castilloberg,36336.77,Mortgage,True,1,True,440,False,charlesandrews@example.net,(824)803-2853
5,Michael Taylor,19,Female,Married,Employed,Alvinborough,94322.78,Own,False,5,True,574,True,mclark@example.net,001-319-673-6012
4355,Chris Washington,71,Male,Divorced,Unemployed,Annahaven,25217.38,Mortgage,True,1,True,532,True,victoria94@example.net,847.534.9632x906
6951,Joshua Simmons Jr.,76,Female,Single,Self-Employed,West Bridget,189067.65,Mortgage,False,5,True,676,False,christopherwalker@example.net,344-303-9949x6043
162459,Melissa Gutierrez,28,Male,Married,Unemployed,New Scott,245859.8,Own,False,5,False,391,False,vgonzalez@example.org,+1-750-296-8378x885
71,Mrs. Danielle Cooke,31,Female,Married,Self-Employed,Josephton,56126.36,Mortgage,True,4,True,616,False,collinsmichael@example.com,001-333-685-9028x2463
353370018,Stephanie Foster,32,Female,Married,Self-Employed,Port Jacquelinefurt,113584.33,Own,True,5,True,821,True,kevin16@example.com,+1-408-206-9441x8122
60,Amanda Patrick,51,Male,Divorced,Unemployed,Lake Nancyland,86481.67,Mortgage,True,3,True,452,False,frankjuan@example.org,286-750-5260
62323,Alex Bryan,61,Male,Single,Employed,Lisaborough,54196.48,Mortgage,True,3,True,301,False,littlebrian@example.org,+1-876-628-1780x50508
1109943,Katherine Flores,50,Female,Single,Unemployed,Mcintoshside,87491.54,Mortgage,False,3,True,729,True,stephanie10@example.net,416.335.4647x083
726750030,Michaela Miller,58,Male,Divorced,Employed,Sosaview,25000.0,Rent,False,1,True,778,True,hayesshannon@example.com,9565478437
